group,subject,item,expected
S,S_13,33,1
S,S_13,34,0
S,S_13,35,1
S,S_13,36,1
S,S_13,37,1
S,S_14,1,1
S,S_14,2,1
S,S_14,3,1
S,S_14,4,1
S,S_14,5,1
S,S_14,6,1
S,S_14,7,1
S,S_14,8,0
S,S_14,9,1
S,S_14,10,1
S,S_14,11,1
S,S_14,12,0
S,S_14,13,1
S,S_14,14,0
S,S_14,15,1
S,S_14,16,0
S,S_14,17,1
S,S_14,18,1
S,S_14,19,1
S,S_14,20,0
S,S_14,21,1
S,S_14,22,1
S,S_14,23,0
S,S_14,24,1
S,S_14,25,1
S,S_14,26,1
S,S_14,27,1
S,S_14,28,1
S,S_14,29,1
S,S_14,30,1
S,S_14,31,1
S,S_14,32,1
S,S_14,33,0
S,S_14,34,1
S,S_14,35,0
S,S_14,36,1
S,S_14,37,1
S,S_15,1,1
S,S_15,2,1
S,S_15,4,1
S,S_15,5,1
S,S_15,6,1
S,S_15,7,1
S,S_15,8,0
S,S_15,9,1
S,S_15,10,1
S,S_15,11,1
S,S_15,12,0
S,S_15,13,1
S,S_15,14,1
S,S_15,15,1
S,S_15,16,1
S,S_15,17,0
S,S_15,18,1
S,S_15,19,0
S,S_15,20,0
S,S_15,21,1
S,S_15,22,0
S,S_15,23,0
S,S_15,24,1
S,S_15,25,1
S,S_15,26,1
S,S_15,27,1
S,S_15,28,1
S,S_15,29,1
S,S_15,30,1
S,S_15,31,1
S,S_15,32,1
S,S_15,33,0
S,S_15,34,1
S,S_15,35,1
